,artist_id,artist_name
283,2723,Ezfic
284,1038223,一针见喜
285,975774,二向柚
286,2329,蔡晓
287,1132979,蔡照
288,2209,陈少华
289,2276,崔京浩
290,1044102,H.O.S.T
291,1040095,菠萝大哥
292,2036,滨哥
293,1057197,薄汉雄
294,1132492,DJNolyn
295,1066056,dj皇家礼炮
296,955037,丁乔
297,1019366,丁童
298,2728,二宝
299,1047206,Electronic Dance Music
300,2717,Ethen Chen
301,1192402,二龙湖浩哥
302,13971421,Empty ORio
303,1135204,陈秋实
304,2264,迟志强
305,2448,曹秦
306,2139,陈冠宇
307,969082,背背
308,1008035,BillySmith
309,2040,毕国勇
310,2083,白云
311,1088061,DELA
312,2584,大宝法王
313,2600,Doe
314,2602,邓杰
315,2564,杜昊
316,1093034,EryXDY
317,12403137,尔冬明
318,2230,陈雅森
319,2132,陈建骐
320,2330,晨熙
321,2137,蔡小虎
322,1039537,BEATS W
323,1165010,卜风疯
324,1053147,笨笨口琴
325,189947,保剑锋
326,1047265,波仔
327,1049123,Danijay
328,2575,段千寻
329,2675,杜淳
330,189918,杜海涛
331,14099080,E&amp;M经贸民谣
332,12363201,ERIC
333,12871192,EC一平
334,12074153,EY魂
335,2190,崔恕
336,941023,曹槽
337,2119,蔡国庆
338,2113,车继铃
339,1135118,陈咏谦
340,1023123,鲍文洋
341,1038354,边边
342,1131053,碧姐
343,1032195,白云飞
344,854273,杜鹏
345,831288,丁克森
346,2530,杜冲
347,1085060,DJ 凌晨
348,12492296,Eggace
349,1043309,耳东 
350,12404124,Eric Song
351,938073,二玩家
352,12370200,Evis&nbsp;Wy
353,2165,陈占美
354,2187,陈宁
355,6740,曾春年
356,6790,曾昱嘉
357,1124422,白力一男
358,2042,白水老人
359,2084,包伟铭
360,805087,德宏老爹
361,2616,丁少华
362,826382,大眼炮
363,961021,东方健
364,2733,Evade
365,12263400,Egil Ellevill
366,2721,eclove23
367,12213188,俄比尔古
368,13195211,二辰
369,224360,陈亮
370,1028199,菜小宝丶
371,5914,蔡仁皓
372,2154,成公亮
373,905110,边欣
374,1038088,贝歌
375,816200,鲍国
376,2052,比利
377,1049899,BRET
378,789136,大宁
379,2537,邓健明
380,1047424,杜光祎
381,2562,窦智孔
382,1049964,E.D.J HyunYu
383,12332127,二飞
384,1039360,ElectricGirl
385,12263011,二亮哥
386,762400,Ever Ending Kicks
387,2423,陈羽凡
388,2123,陈明章
389,6521,曾航生
390,2202,陈其钢
391,1041040,百里熙
392,1081023,李胜伟
393,1057274,包青山
394,1046167,背包客
395,855537,丁衣凡
396,1087261,大张雨
397,2631,丁承运
398,1039910,DJ RETINA
399,1083066,D蒙介
400,12170031,耳机
401,2724,E歌
402,1050175,二龙
403,1039579,Emxi
404,1060096,大彻
405,1081164,陈川
406,2136,蔡枫华
407,187926,陈玉建
408,962220,Baadsvik
409,2039,白子正
410,854299,包飞
411,1044046,&nbsp;梁靖如
412,1049372,白浩
413,1050280,于亮
414,2585,大冲
415,774232,邓养天
416,896232,大兵
417,2327,陈杰瑞
418,2285,崔弦亮
419,1049979,陈建斌
420,2237,陈豪
421,2024,保新谊
422,1049871,包尔淦
423,1039313,Bunny
424,1132200,包胡尔查
425,1050481,DJ Carmen
426,2650,戴亚
427,2599,都智文
428,2651,登格尔
429,2163,常宽
430,818622,Chinsta
431,1014024,茶季杨
432,2283,陈展鹏
433,1080017,Bjergsen
434,1047363,巴特尔道尔吉
435,1132662,鲍昕宇Aspada
436,1032014,包启宁
437,1057078,Badkiz
438,1050641,大坏兔子
439,1081314,djokawa official
440,966134,逗青
441,947023,董冬冬
442,1058138,大琴师音乐游戏
443,2148,陈志朋
444,2389,陈咏
445,942004,陈阳
446,2245,陈军
447,2072,白鹤
448,2050,白音孟和
449,2025,B6
450,1058207,电音style
451,2586,Desolate
452,1032057,DanFII
453,1060122,DJLayDiMusic
454,1043205,DJ骏仔
455,2120,陈建年
456,727005,陈赫
457,2323,陈小平
