,pay_date,price,user_id,source
0,2017-11-20,6.0,5a124a931d41c8064627d2cf,third
1,2017-11-20,6.0,5a124a931d41c8064627d2cf,third
2,2017-11-20,6.0,5a124c7d1d41c8064627dc17,third
3,2017-11-21,6.0,5a139c2d1d41c806462f8da1,third
4,2017-11-21,6.0,5a1248851d41c8064627c9e4,third
5,2017-11-22,6.0,5a139c2d1d41c806462f8da1,third
6,2017-11-22,6.0,5a1253651d41c8064627ecee,third
7,2017-11-23,6.0,5a140ac71d41c805bd502f96,third
8,2017-11-24,30.0,5a1253651d41c8064627ecee,third
9,2017-11-24,6.0,5a17fefb1d41c805bd5ed055,third
10,2017-11-24,6.0,5a1844281d41c805bd605466,third
11,2017-11-24,6.0,5a1844281d41c805bd605466,third
12,2017-11-25,6.0,5a1286bd1d41c8064628b3e5,third
13,2017-11-26,6.0,5a1297f51d41c8064628e858,third
14,2017-11-27,6.0,5a1bc2fa1d41c80653557fc0,third
15,2017-11-27,30.0,5a1bc2fa1d41c80653557fc0,third
16,2017-11-27,6.0,5a1bc4ff1d41c80653558650,third
17,2017-11-27,30.0,5a1bc4ff1d41c80653558650,third
18,2017-11-27,6.0,5a1410701d41c805bd5052d5,third
19,2017-11-27,30.0,5a1410701d41c805bd5052d5,third
20,2017-11-27,6.0,5a1286bd1d41c8064628b3e5,third
21,2017-11-27,30.0,5a1410701d41c805bd5052d5,third
22,2017-11-27,30.0,5a1410701d41c805bd5052d5,third
23,2017-11-28,6.0,5a1297f51d41c8064628e858,third
24,2017-11-28,30.0,5a1253651d41c8064627ecee,third
25,2017-11-30,6.0,5a1fb76e1d41c825fa66bb33,third
26,2017-12-03,100.0,5a1844281d41c805bd605466,third
27,2017-12-20,6.0,5a31cef31d41c81a65895150,third
28,2017-12-20,6.0,5a39f93a1d41c805de3f17c4,third
29,2017-12-20,6.0,5a39fe131d41c805de3f3e04,third
30,2017-12-21,6.0,5a127d3e1d41c8064628a569,third
31,2017-12-25,0.01,5a1246401d41c8064627c1c9,third
32,2017-12-25,0.01,5a1246401d41c8064627c1c9,third
33,2017-12-25,0.01,5a127d531d41c8064628a56d,third
34,2017-12-25,0.01,5a1246401d41c8064627c1c9,third
35,2017-12-25,0.01,5a1246401d41c8064627c1c9,third
36,2017-12-25,0.01,5a124c7d1d41c8064627dc17,third
37,2017-12-26,0.01,5a127d531d41c8064628a56d,third
38,2017-12-26,0.01,5a31cef31d41c81a65895150,third
39,2017-12-29,6.0,5a124c7d1d41c8064627dc17,third
40,2017-12-29,6.0,5a1253651d41c8064627ecee,third
41,2017-12-29,6.0,5a454c2d1d41c80fbda17086,third
42,2017-12-29,6.0,5a454c2d1d41c80fbda17086,third
43,2017-12-29,6.0,5a44c07f1d41c80fbd9ea72b,third
44,2017-12-29,6.0,5a1fb76e1d41c825fa66bb33,third
45,2017-12-30,6.0,5a1253651d41c8064627ecee,third
46,2017-12-30,30.0,5a464dbf1d41c80fbda5e9b2,third
47,2017-12-30,30.0,5a4751f01d41c80fbdaa8cb3,third
48,2017-12-30,6.0,5a1253651d41c8064627ecee,third
49,2017-12-30,6.0,5a4631821d41c80fbda5b7dd,third
50,2017-12-30,6.0,5a4631821d41c80fbda5b7dd,third
51,2017-12-30,6.0,5a4631821d41c80fbda5b7dd,third
52,2017-12-30,30.0,5a4631821d41c80fbda5b7dd,third
53,2017-12-31,30.0,5a464dbf1d41c80fbda5e9b2,third
54,2017-12-31,100.0,5a47a10d1d41c80fbdabbe40,third
55,2018-01-01,6.0,5a487ac01d41c80fbdb00c7e,third
56,2018-01-01,6.0,5a454c2d1d41c80fbda17086,third
57,2018-01-01,6.0,5a454c2d1d41c80fbda17086,third
58,2018-01-01,6.0,5a49e66f1d41c80fbdb752d9,third
59,2018-01-01,6.0,5a1fb76e1d41c825fa66bb33,third
60,2018-01-02,6.0,5a4b10421d41c80fbdbe402e,third
61,2018-01-02,6.0,5a4b10421d41c80fbdbe402e,third
62,2018-01-02,6.0,5a1fb76e1d41c825fa66bb33,third
63,2018-01-02,6.0,5a454c2d1d41c80fbda17086,third
64,2018-01-02,6.0,5a4b88781d41c80fbdc0387c,third
65,2018-01-02,6.0,5a4b7dbc1d41c80fbdc01e22,third
66,2018-01-02,6.0,5a1253651d41c8064627ecee,third
67,2018-01-02,6.0,5a1247571d41c8064627c6ef,third
68,2018-01-03,6.0,5a4bd12a1d41c80fbdc19d54,third
69,2018-01-03,6.0,5a4bd12a1d41c80fbdc19d54,third
70,2018-01-03,100.0,5a4bd12a1d41c80fbdc19d54,third
71,2018-01-03,6.0,5a4c2eb91d41c80fbdc41825,third
72,2018-01-03,6.0,5a49910b1d41c80fbdb59d2b,third
73,2018-01-03,30.0,5a4ceab11d41c80fbdc78967,third
74,2018-01-03,6.0,5a4ced611d41c80fbdc79393,third
75,2018-01-04,100.0,5a4b10421d41c80fbdbe402e,third
76,2018-01-04,30.0,5a4ddc061d41c80fbde62a7d,third
77,2018-01-04,6.0,5a127d951d41c8064628a57f,third
78,2018-01-04,6.0,5a4c2eb91d41c80fbdc41825,third
79,2018-01-04,30.0,5a4e14781d41c80fbde70abe,third
80,2018-01-04,30.0,5a4e14781d41c80fbde70abe,third
81,2018-01-04,6.0,5a4e14781d41c80fbde70abe,third
82,2018-01-05,6.0,5a4e99d01d41c80fbde95639,third
83,2018-01-05,30.0,5a4b9afb1d41c80fbdc06885,third
84,2018-01-05,30.0,5a1247571d41c8064627c6ef,third
85,2018-01-05,6.0,5a45e3171d41c80fbda4b639,third
86,2018-01-05,6.0,5a1253651d41c8064627ecee,third
87,2018-01-05,6.0,5a4f66298ea6a0072620fd82,third
88,2018-01-05,6.0,5a4f68698ea6a00726210827,third
89,2018-01-05,6.0,5a4f68698ea6a00726210827,third
90,2018-01-05,6.0,5a4f6dcc8ea6a00726212180,third
91,2018-01-05,6.0,5a4f6afc8ea6a00726211486,third
92,2018-01-05,30.0,5a4f6afc8ea6a00726211486,third
93,2018-01-05,30.0,5a4f6dcc8ea6a00726212180,third
94,2018-01-05,6.0,5a4f68698ea6a00726210827,third
95,2018-01-05,6.0,5a4f68698ea6a00726210827,third
96,2018-01-05,6.0,5a4f56e98ea6a0072620b8ac,third
97,2018-01-05,6.0,5a1253651d41c8064627ecee,third
98,2018-01-05,6.0,5a1253651d41c8064627ecee,third
99,2018-01-05,6.0,5a1253651d41c8064627ecee,third
100,2018-01-05,6.0,5a4ceab11d41c80fbdc78967,third
101,2018-01-05,6.0,5a4ceab11d41c80fbdc78967,third
102,2018-01-05,6.0,5a1410701d41c805bd5052d5,third
103,2018-01-05,30.0,5a1410701d41c805bd5052d5,third
104,2018-01-05,6.0,5a4715921d41c80fbda9c0ad,third
105,2018-01-05,6.0,5a48810e1d41c80fbdb02cda,third
106,2018-01-06,6.0,5a4c2eb91d41c80fbdc41825,third
107,2018-01-06,6.0,5a505c988ea6a0072625b00d,third
108,2018-01-06,6.0,5a505c988ea6a0072625b00d,third
109,2018-01-06,30.0,5a45e3171d41c80fbda4b639,third
110,2018-01-06,100.0,5a5073fd8ea6a0072626238e,third
111,2018-01-06,100.0,5a5073fd8ea6a0072626238e,third
112,2018-01-06,100.0,5a5073fd8ea6a0072626238e,third
113,2018-01-06,6.0,5a4c2eb91d41c80fbdc41825,third
114,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
115,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
116,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
117,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
118,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
119,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
120,2018-01-07,100.0,5a5073fd8ea6a0072626238e,third
121,2018-01-07,6.0,5a521e568ea6a007262daeb8,third
122,2018-01-07,6.0,5a521e568ea6a007262daeb8,third
123,2018-01-08,6.0,5a4ade751d41c80fbdbd314c,third
124,2018-01-08,30.0,5a4650191d41c80fbda5efec,third
125,2018-01-09,6.0,5a541a098ea6a0072637d489,third
126,2018-01-09,100.0,5a5073fd8ea6a0072626238e,third
127,2018-01-09,6.0,5a1253651d41c8064627ecee,third
128,2018-01-09,100.0,5a5073fd8ea6a0072626238e,third
129,2018-01-09,6.0,5a454c2d1d41c80fbda17086,third
130,2018-01-10,6.0,5a559dd88ea6a005db778e17,third
131,2018-01-10,30.0,5a45e3171d41c80fbda4b639,third
132,2018-01-10,6.0,5a50b61c8ea6a00726275ab4,third
133,2018-01-10,30.0,5a50b61c8ea6a00726275ab4,third
134,2018-01-11,6.0,5a541a098ea6a0072637d489,third
135,2018-01-11,6.0,5a570c1b8ea6a005db7c580c,third
136,2018-01-11,6.0,5a139c2d1d41c806462f8da1,third
137,2018-01-11,6.0,5a45d8f61d41c80fbda480cc,third
138,2018-01-11,30.0,5a54ab068ea6a005db742a7e,third
139,2018-01-11,100.0,5a54ab068ea6a005db742a7e,third
140,2018-01-11,100.0,5a1253651d41c8064627ecee,third
141,2018-01-12,6.0,5a583a718ea6a005db80d217,third
142,2018-01-12,6.0,5a50b61c8ea6a00726275ab4,third
143,2018-01-12,30.0,5a50b61c8ea6a00726275ab4,third
144,2018-01-12,100.0,5a4bd12a1d41c80fbdc19d54,third
145,2018-01-12,100.0,5a4bd12a1d41c80fbdc19d54,third
146,2018-01-13,6.0,5a54ab068ea6a005db742a7e,third
147,2018-01-13,6.0,5a596f348ea6a005db8520eb,third
148,2018-01-13,30.0,5a45dd711d41c80fbda4974a,third
149,2018-01-13,6.0,5a1bfc9a1d41c8065356792d,third
150,2018-01-13,100.0,5a1410701d41c805bd5052d5,third
151,2018-01-13,6.0,5a1253651d41c8064627ecee,third
152,2018-01-13,6.0,5a5994e38ea6a005db858f1d,third
153,2018-01-13,6.0,5a454c2d1d41c80fbda17086,third
154,2018-01-13,6.0,5a59ee3a8ea6a005db867c85,third
155,2018-01-13,6.0,5a4b3add1d41c80fbdbf1599,third
156,2018-01-13,6.0,5a4b3add1d41c80fbdbf1599,third
157,2018-01-13,30.0,5a532f388ea6a0072632b880,third
158,2018-01-13,30.0,5a532f388ea6a0072632b880,third
159,2018-01-13,100.0,5a532f388ea6a0072632b880,third
160,2018-01-14,30.0,5a45e3171d41c80fbda4b639,third
161,2018-01-14,6.0,5a5ada5d8ea6a005db89e70b,third
162,2018-01-14,6.0,5a5ad5d18ea6a005db89daf2,third
163,2018-01-14,6.0,5a5994e38ea6a005db858f1d,third
164,2018-01-14,30.0,5a5854c78ea6a005db812bc2,third
165,2018-01-14,6.0,5a5ada5d8ea6a005db89e70b,third
166,2018-01-14,6.0,5a4f6afc8ea6a00726211486,third
167,2018-01-14,6.0,5a4b9afb1d41c80fbdc06885,third
168,2018-01-14,30.0,5a522a998ea6a007262de4ee,third
169,2018-01-14,6.0,5a522a998ea6a007262de4ee,third
170,2018-01-14,30.0,5a4b9afb1d41c80fbdc06885,third
171,2018-01-14,30.0,5a522a998ea6a007262de4ee,third
172,2018-01-14,6.0,5a5b578f8ea6a005db8b38b7,third
173,2018-01-14,6.0,5a59e4618ea6a005db8663d1,third
174,2018-01-14,6.0,5a5b578f8ea6a005db8b38b7,third
175,2018-01-14,30.0,5a4f85a08ea6a0072621827b,third
176,2018-01-14,6.0,5a599d8c8ea6a005db859f58,third
177,2018-01-14,6.0,5a599d8c8ea6a005db859f58,third
178,2018-01-14,6.0,5a599d8c8ea6a005db859f58,third
179,2018-01-15,6.0,5a5ad5d18ea6a005db89daf2,third
180,2018-01-15,6.0,5a5ad5d18ea6a005db89daf2,third
181,2018-01-15,6.0,5a5c61f08ea6a005db8efe59,third
182,2018-01-15,6.0,5a215aad1d41c83d394901aa,third
183,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
184,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
185,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
186,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
187,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
188,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
189,2018-01-15,6.0,5a4f6afc8ea6a00726211486,third
190,2018-01-15,6.0,5a59ee3a8ea6a005db867c85,third
191,2018-01-15,6.0,5a4f66298ea6a0072620fd82,third
192,2018-01-15,30.0,5a4f6afc8ea6a00726211486,third
193,2018-01-15,6.0,5a5ce2718ea6a005db9087bd,third
194,2018-01-16,6.0,5a599d8c8ea6a005db859f58,third
195,2018-01-16,30.0,5a4f85a08ea6a0072621827b,third
196,2018-01-16,6.0,5a4bd12a1d41c80fbdc19d54,third
197,2018-01-16,30.0,5a58e1668ea6a005db82b096,third
198,2018-01-16,30.0,5a4bd12a1d41c80fbdc19d54,third
199,2018-01-16,100.0,5a4bd12a1d41c80fbdc19d54,third
200,2018-01-16,100.0,5a4bd12a1d41c80fbdc19d54,third
201,2018-01-16,30.0,5a4f6afc8ea6a00726211486,third
202,2018-01-16,30.0,5a4f85a08ea6a0072621827b,third
203,2018-01-16,6.0,5a5e0fcf8ea6a005db946d45,third
204,2018-01-16,6.0,5a1410701d41c805bd5052d5,third
205,2018-01-17,6.0,5a4f6afc8ea6a00726211486,third
206,2018-01-17,6.0,5a4f6afc8ea6a00726211486,third
207,2018-01-17,6.0,5a5dfa958ea6a005db944154,third
208,2018-01-17,6.0,5a4f6afc8ea6a00726211486,third
209,2018-01-17,30.0,5a4bd12a1d41c80fbdc19d54,third
210,2018-01-17,6.0,5a599d8c8ea6a005db859f58,third
211,2018-01-17,6.0,5a4f6afc8ea6a00726211486,third
212,2018-01-17,6.0,5a599d8c8ea6a005db859f58,third
213,2018-01-17,6.0,5a599d8c8ea6a005db859f58,third
214,2018-01-18,30.0,5a5ad5d18ea6a005db89daf2,third
215,2018-01-18,6.0,5a5ef2068ea6a005db9767ac,third
216,2018-01-18,30.0,5a5ef2068ea6a005db9767ac,third
217,2018-01-18,30.0,5a5ef2068ea6a005db9767ac,third
218,2018-01-18,6.0,5a192b571d41c805bd663db7,third
219,2018-01-18,6.0,5a6001428ea6a005db9ad93d,third
220,2018-01-18,6.0,5a192b571d41c805bd663db7,third
221,2018-01-18,6.0,5a58e1668ea6a005db82b096,third
222,2018-01-18,30.0,5a60a0b08ea6a005db9c49f4,third
223,2018-01-18,6.0,5a60a0b28ea6a005db9c49fb,third
224,2018-01-18,6.0,5a60a0b28ea6a005db9c49fb,third
225,2018-01-18,6.0,5a192b571d41c805bd663db7,third
226,2018-01-18,30.0,5a60a0b08ea6a005db9c49f4,third
227,2018-01-18,6.0,5a5dadfd8ea6a005db939ef0,third
228,2018-01-18,6.0,5a6087638ea6a005db9c1560,third
229,2018-01-18,6.0,5a4f6afc8ea6a00726211486,third
230,2018-01-18,6.0,5a60afbc8ea6a005db9c6a79,third
231,2018-01-18,30.0,5a60bc6d8ea6a005db9c8990,third
232,2018-01-18,100.0,5a60bc6d8ea6a005db9c8990,third
233,2018-01-19,30.0,5a4650191d41c80fbda5efec,third
234,2018-01-19,6.0,5a6101148ea6a005db9da661,third
235,2018-01-19,30.0,5a60a1bc8ea6a005db9c4c94,third
236,2018-01-19,30.0,5a60a1bc8ea6a005db9c4c94,third
237,2018-01-19,30.0,5a60a0b08ea6a005db9c49f4,third
238,2018-01-19,6.0,5a61bade8ea6a005dba021c3,third
239,2018-01-19,6.0,5a61bade8ea6a005dba021c3,third
240,2018-01-19,6.0,5a5d8fd88ea6a005db93655d,third
241,2018-01-19,30.0,5a61ba9e8ea6a005dba02167,third
242,2018-01-19,6.0,5a5d8fd88ea6a005db93655d,third
243,2018-01-19,30.0,5a45e3171d41c80fbda4b639,third
244,2018-01-19,6.0,5a4cbfdb1d41c80fbdc6dc51,third
245,2018-01-19,30.0,5a4cbfdb1d41c80fbdc6dc51,third
246,2018-01-19,6.0,5a4cbfdb1d41c80fbdc6dc51,third
247,2018-01-19,6.0,5a4cbfdb1d41c80fbdc6dc51,third
248,2018-01-19,6.0,5a4cbfdb1d41c80fbdc6dc51,third
249,2018-01-19,6.0,5a4f6afc8ea6a00726211486,third
250,2018-01-19,30.0,5a532f388ea6a0072632b880,third
251,2018-01-19,30.0,5a60a0b08ea6a005db9c49f4,third
252,2018-01-19,6.0,5a16b05e1d41c805bd5ad956,third
253,2018-01-19,6.0,5a620f598ea6a005dba0c54a,third
254,2018-01-19,6.0,5a60cc1e8ea6a005db9cc0d3,third
255,2018-01-19,30.0,5a60bc6d8ea6a005db9c8990,third
256,2018-01-20,6.0,5a5d8fd88ea6a005db93655d,third
257,2018-01-20,30.0,5a60a1bc8ea6a005db9c4c94,third
258,2018-01-20,6.0,5a6055ea8ea6a005db9bb3a9,third
259,2018-01-20,6.0,5a6055ea8ea6a005db9bb3a9,third
260,2018-01-20,6.0,5a4cbfdb1d41c80fbdc6dc51,third
261,2018-01-20,30.0,5a62d1518ea6a005dba349af,third
262,2018-01-20,6.0,5a6055ea8ea6a005db9bb3a9,third
263,2018-01-20,6.0,5a5ef5478ea6a005db9769a7,third
264,2018-01-20,6.0,5a4cbfdb1d41c80fbdc6dc51,third
